"time","y","x","h_true","g_true"
1,2.11709052559852,0.376527719017416,0.823776960213188,0
2,1.65179189402425,0.614447540551144,1.23410829451346,0
3,-1.62741835600117,0.313131330227969,1.3861205834363,0
4,2.7554637450045,0.564351570596492,0.9309036891814,0
5,0.0563243266321322,0.291515001125026,1.03787902599662,0
6,-1.37422418301642,-0.188206772658672,1.20473439222038,0
7,1.89970452142443,-0.46329935366734,1.37687745280481,0
8,-3.88517778693614,-0.46826678051189,1.92030521153542,0
9,-0.402790354035161,-0.390509144536858,1.81414171367909,0
10,-4.31121186339777,-0.169479562600288,1.88914600240601,0
11,4.40085405611799,-0.0152943612627755,1.77344811486609,0
12,-1.5476896142861,0.168517626517734,1.89582634603954,0
13,1.41307370720478,0.395599551691587,1.57778410010367,0
14,-1.84126722948613,0.999729132843012,1.38242628770572,0
15,-1.21641896276803,0.959805058767241,1.18849425771138,0
16,1.27405082902379,0.783244602129712,1.34561257940775,0
17,-3.0573987643611,0.697350958674115,0.722131767337688,0
18,-0.755574704090753,0.74510364071949,0.696289508035164,0
19,1.23673836122859,1.10583926500981,0.635745433532767,0
20,-0.723593908059588,1.28594169396697,0.407828851420571,0
21,-2.81789161506157,0.668468733200665,0.543611902713593,0
22,-1.76179397717034,0.396886725802932,0.566252435453205,0
23,-2.49889426416154,0.484597804714204,0.552756256868107,0
24,1.76536726475908,-0.012164600039108,1.14652860911449,0
25,-0.728029611291905,-0.208136569115671,1.15771515278807,0
26,1.40155942837735,-1.0822731983257,1.13968370781284,0
27,-0.352166445248332,-0.684824032281126,1.39725254299193,0
28,-0.169156869751571,-0.545878187248743,1.76203965907588,0
29,-1.90640346651644,-0.848921512029062,1.52035629624757,0
30,-1.86929771714584,-0.039992134535739,1.82377250570165,0
31,1.44968779926874,-0.207125551548059,1.81731673617526,0
32,0.900036330129447,-0.520165514096105,1.80521793310321,0
33,-4.12385382802438,-0.442436611689973,2.00835270005747,0
34,3.564094288623,-0.490136329202212,2.42002761270795,0
35,-1.15328336456432,-0.870030258045492,2.60685414082171,0
36,-1.87980977549528,-0.893827196552363,2.57185426580714,0
37,-4.61434891779752,-0.705780457705772,2.49429693435044,0
38,0.800451314976657,-0.226106909602564,1.98912683435673,0
39,-2.43124765484064,0.364725987992724,1.49987635431978,0
40,-0.40324647853541,0.17202350049353,1.76440050597608,0
41,4.60487492405148,0.0153515405651752,1.92369129001233,0
42,-0.675587171938898,0.051138095451863,1.89415651987029,0
43,-0.342948693432242,0.486693940784686,1.78920483523696,0
44,0.444112733595634,0.745602276239151,1.75238992219014,0
45,2.65639192426643,1.14409164550211,1.56673033807121,0
46,-0.526565270852886,1.12898166201514,1.14742237878789,0
47,-0.98351351796805,0.847236750697565,0.894805425749554,0
48,-1.08685088537421,0.98231403721835,0.760776311568572,0
49,0.616324006281831,0.0667419074170662,0.860437646608929,0
50,-0.869706803505099,-1.01938257588427,0.747940503669411,0
51,0.551390071607937,-1.4473483039338,1.00554693937596,0
52,-5.77466965731081,-0.982378380901772,0.97254793788984,0
53,-2.39137770464187,-0.551342635812102,1.53355045188634,0
54,-1.57170840054131,-0.65442352389854,1.61996190247462,0
55,1.90575555131717,-0.352886365884387,1.16283471777835,0
56,-1.36041114217328,-0.197243862998055,1.26335419257143,0
57,-1.46002829036683,-1.44897091980761,1.54887606983455,0
58,0.0177477403600912,-1.15934208776957,1.57831919297669,0
59,-3.89941479245745,-1.8139449632414,1.56275562118862,0
60,3.66016884185686,-2.20252390978127,1.44602505351414,0
61,-1.64805247930789,-2.66441838959771,1.66483188387837,0
62,1.62067189713495,-2.61214972958686,1.49745496360441,0
63,5.52634257333501,-2.31053818412005,1.58026608735223,0
64,0.877634077793061,-1.62908662752058,1.672208243118,0
65,2.80036233341857,-1.13602881000459,1.64033527615704,0
66,0.60407990652028,-1.11833647416986,1.40589321256807,0
67,0.574191660549553,-0.645546921916742,1.27666235645631,0
68,-3.15544439625953,-1.01535030690554,1.4410080063817,0
69,0.0413310849813977,-0.545884613464828,1.43788273721725,0
70,-0.439726421859824,-0.265203749584839,1.75237245778324,0
71,2.46523329030826,-0.266776311771963,1.53003823633779,0
72,1.43919132497128,-0.073186014698076,1.77443167859199,0
73,2.59382040727555,-0.23290489345828,2.33640778738783,0
74,-0.632523666955375,-0.204075613819361,2.39991490146317,0
75,-2.18229024885327,-0.88336657716018,2.28763198128479,0
76,5.64778630329562,-0.936840762041704,2.45014260398252,0
77,-3.28054814309578,-0.883690239966222,2.33587681372014,0
78,-1.53042952856055,-0.864031199262366,1.97755676583192,0
79,-3.55663544336874,-0.241507658024132,2.18582233042206,0
80,-2.75957063626204,-0.340991219343615,1.95618125395657,0
81,0.41871678214792,0.331987423411628,1.97187991635746,0
82,2.56758227091365,0.58679530551556,1.67897184985973,0
83,-5.34040145884702,-0.0524856543116948,1.8959300397051,0
84,1.99286556085135,-0.328080860871316,1.71712774242421,0
85,5.63127619870151,-0.301158937767552,1.62233709564299,0
86,1.46324917141813,0.267771536787631,1.6242766383547,0
87,-0.923177899781443,-0.345274702699874,1.62043145669346,0
88,-4.21045910438263,-0.441334226287693,1.58103952091157,0
89,2.91028933052862,-0.351475013120059,1.80538780102595,0
90,-5.24152455665573,0.136237946219867,1.66070653390767,0
91,0.292526527826554,-0.324033766990454,1.46097157282625,0
92,1.32444930497186,0.400221136587254,1.33730956496006,0
93,2.29872902528328,-0.625341243066076,1.28050766608389,0
94,0.871302848815767,0.612827824877036,1.20335427647019,0
95,-1.72151630727183,0.343964718652996,1.57631112134134,0
96,2.68416440391031,-0.813802325303511,1.76466943450789,0
97,-0.775772781316818,-0.759044833081819,1.40569887047585,0
98,1.41314348023008,-0.582681999584511,1.38504992963801,0
99,-2.58369718838812,-0.522267992571036,1.26030509058953,0
100,-2.20641441406527,0.167592363791755,1.41975262487327,0
101,-1.09001356227347,-0.147457016832289,1.68265364983923,0
102,4.48651106872719,-0.608399608482178,2.09027898684628,0
103,5.02451911373544,-1.36062493786519,1.88773834186953,0
104,4.16484343090933,-1.05099655471644,1.73635429581302,0
105,0.7011189334275,-0.348530373965548,1.74790283186833,0
106,-2.37531087127344,-1.25477708900812,1.62482073906738,0
107,3.10585011035455,-0.649716455692498,1.73866377692625,0
108,-0.391533629516617,-0.207848892630019,2.43276393721382,0
109,-2.81886953470712,0.92869524914908,2.77857033623489,0
110,3.45725113763764,1.09246049290845,2.71766405369982,0
111,-7.66153841541787,1.26198074954559,2.59462107767143,0
112,-3.78127394169939,1.10127955414815,3.02919223923773,0
113,1.97479318446239,1.38062843067641,3.05436994559802,0
114,-0.774713715314596,1.96624914793568,3.01371991265241,0
115,1.50991999160343,1.12298431128909,3.14803917096843,0
116,-3.09091898380554,1.48429664447577,3.22482347046629,0
117,4.57641945946815,1.39118387026489,3.1762084425598,0
118,4.17729665953196,1.14586732135686,2.9163044647847,0
119,4.05030168592171,0.550084377285846,2.89281919413063,0
120,3.30876873373543,0.577530337543936,2.64548108150456,0
121,-1.26555340816281,-0.0903449529950492,2.07591939528532,0
122,-1.21419015213984,0.0123396583795657,1.83423133898792,0
123,-2.71863162781674,1.10511206077625,2.24494511008883,0
124,1.97265999628279,1.19209678843729,2.1729629706102,0
125,0.820131615725778,0.373424131314756,2.27651584627982,0
126,6.50748591684928,0.522472494646132,1.59620611663282,0
127,5.56628386763843,0.0427755535707458,1.63218474807508,0
128,0.0592470910162236,0.0807091878420662,1.58073393604326,0
